epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4218,0.94335,3.79957,1.3014,0.58626,0.18283,0.17269,0.12979,0.94979,2.55023,1.24423,0.000138073,0.000138073,0.000138073
2,109.404,0.98309,2.81592,1.31846,0.64082,0.27856,0.27356,0.19545,0.94886,2.2353,1.2595,0.00027433,0.00027433,0.00027433
3,159.099,1.01555,2.50734,1.34418,0.57318,0.3497,0.35103,0.2493,1.01915,2.39957,1.31124,0.000407835,0.000407835,0.000407835
